,Country_Name,Country_ID
0,Austria,1
1,Belgium,2
2,Bulgaria,3
3,Croatia,4
4,Cyprus,5
5,Czechia,6
6,Denmark,7
7,Estonia,8
8,Finland,9
9,France,10
10,Germany,11
11,Greece,12
12,Hungary,13
13,Iceland,14
14,Ireland,15
15,Italy,16
16,Latvia,17
17,Lithuania,18
18,Luxembourg,19
19,Malta,20
20,Netherlands,21
21,Norway,22
22,Poland,23
23,Portugal,24
24,Romania,25
25,Slovakia,26
26,Slovenia,27
27,Spain,28
28,Sweden,29
